$$ChildProduct.Name$ParentProduct.Name$ProductComponentGroup.Name$ProductRelationshipType.Name,ChildProduct.Name,ChildProductId,ChildProductRole,ChildSellingModel.$$Name$SellingModelType,ChildSellingModelId,DoesBundlePriceIncludeChild,Id,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,Name,ParentProduct.Name,ParentProductId,ParentProductRole,ParentSellingModel.$$Name$SellingModelType,ParentSellingModelId,ProductComponentGroup.$$Name$ParentProduct.Name,ProductComponentGroupId,ProductRelationshipType.Name,ProductRelationshipTypeId,Quantity,QuantityScaleMethod,Sequence
QuantumBit Fundamentals Training;QuantumBit Starter;Training;Bundle to Bundle Component Relationship,QuantumBit Fundamentals Training,01ta5000000A6jjAAC,BundleComponent,,,false,0dSa50000000cJpEAI,false,false,false,,,PRC-000000001,QuantumBit Starter,01ta5000000A6idAAC,Bundle,,,Training;QuantumBit Starter,0y7a500000002rSAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,Proportional,
QuantumBit Essentials Training;QuantumBit Starter;Training;Bundle to Bundle Component Relationship,QuantumBit Essentials Training,01ta5000000A6jkAAC,BundleComponent,,,false,0dSa50000000cJqEAI,false,true,false,,,PRC-000000002,QuantumBit Starter,01ta5000000A6idAAC,Bundle,,,Training;QuantumBit Starter,0y7a500000002rSAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,Proportional,
Gold Hardware Maintenance;QuantumBit Starter;Maintenance;Bundle to Bundle Component Relationship,Gold Hardware Maintenance,01ta5000000A6jBAAS,BundleComponent,,,false,0dSa50000000cJrEAI,false,false,false,,,PRC-000000003,QuantumBit Starter,01ta5000000A6idAAC,Bundle,,,Maintenance;QuantumBit Starter,0y7a500000002rRAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,Proportional,
Silver Hardware Maintenance;QuantumBit Starter;Maintenance;Bundle to Bundle Component Relationship,Silver Hardware Maintenance,01ta5000000A6jGAAS,BundleComponent,,,false,0dSa50000000cJsEAI,false,true,false,,,PRC-000000004,QuantumBit Starter,01ta5000000A6idAAC,Bundle,,,Maintenance;QuantumBit Starter,0y7a500000002rRAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,Proportional,
API Access Requests (AEH);QuantumBit Complete Solution;Software;Bundle to Bundle Component Relationship,API Access Requests (AEH),01ta5000000A6jUAAS,BundleComponent,,,false,0dSa50000000cJtEAI,false,false,true,,,PRC-000000005,QuantumBit Complete Solution,01ta5000000A6ipAAC,Bundle,,,Software;QuantumBit Complete Solution,0y7a500000002rTAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,100,,70
QuantumBit Essentials Training;QuantumBit Complete Solution;Training;Bundle to Bundle Component Relationship,QuantumBit Essentials Training,01ta5000000A6jkAAC,BundleComponent,,,false,0dSa50000000cJuEAI,false,true,false,,,PRC-000000006,QuantumBit Complete Solution,01ta5000000A6ipAAC,Bundle,,,Training;QuantumBit Complete Solution,0y7a500000002rUAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,Proportional,10
QuantumBit Fundamentals Training;QuantumBit Complete Solution;Training;Bundle to Bundle Component Relationship,QuantumBit Fundamentals Training,01ta5000000A6jjAAC,BundleComponent,,,false,0dSa50000000cJvEAI,false,false,false,,,PRC-000000007,QuantumBit Complete Solution,01ta5000000A6ipAAC,Bundle,,,Training;QuantumBit Complete Solution,0y7a500000002rUAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,Proportional,20
Professional Services Daily Rate;QuantumBit Complete Solution;Services;Bundle to Bundle Component Relationship,Professional Services Daily Rate,01ta5000000A6jmAAC,BundleComponent,,,false,0dSa50000000cJwEAI,false,true,true,,,PRC-000000008,QuantumBit Complete Solution,01ta5000000A6ipAAC,Bundle,,,Services;QuantumBit Complete Solution,0y7a500000002rVAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,250,,10
Professional Services Scope of Work;QuantumBit Complete Solution;Services;Bundle to Bundle Component Relationship,Professional Services Scope of Work,01ta5000000A6jqAAC,BundleComponent,,,true,0dSa50000000cJxEAI,false,false,false,,,PRC-000000009,QuantumBit Complete Solution,01ta5000000A6ipAAC,Bundle,,,Services;QuantumBit Complete Solution,0y7a500000002rVAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,Proportional,20
QB API Management Solution;QuantumBit Complete Solution;Software;Bundle to Bundle Component Relationship,QB API Management Solution,01ta5000000A6igAAC,BundleComponent,,,false,0dSa50000000cJyEAI,false,false,true,,,PRC-000000010,QuantumBit Complete Solution,01ta5000000A6ipAAC,Bundle,,,Software;QuantumBit Complete Solution,0y7a500000002rTAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,,10
Additional Messages - QB Starter;QuantumBit Complete Solution;Software;Bundle to Bundle Component Relationship,Additional Messages - QB Starter,01ta5000000A6jKAAS,BundleComponent,,,false,0dSa50000000cJzEAI,false,false,true,,,PRC-000000011,QuantumBit Complete Solution,01ta5000000A6ipAAC,Bundle,,,Software;QuantumBit Complete Solution,0y7a500000002rTAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,5,,30
Additional Flows - QB Starter;QuantumBit Complete Solution;Software;Bundle to Bundle Component Relationship,Additional Flows - QB Starter,01ta5000000A6jIAAS,BundleComponent,,,false,0dSa50000000cK0EAI,false,false,true,,,PRC-000000012,QuantumBit Complete Solution,01ta5000000A6ipAAC,Bundle,,,Software;QuantumBit Complete Solution,0y7a500000002rTAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,5,,40
Additional Data Throughput (TB);QuantumBit Complete Solution;Software;Bundle to Bundle Component Relationship,Additional Data Throughput (TB),01ta5000000A6jMAAS,BundleComponent,,,false,0dSa50000000cK1EAI,false,false,true,,,PRC-000000013,QuantumBit Complete Solution,01ta5000000A6ipAAC,Bundle,,,Software;QuantumBit Complete Solution,0y7a500000002rTAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,5,,50
Additional Automation QB Credits;QuantumBit Complete Solution;Software;Bundle to Bundle Component Relationship,Additional Automation QB Credits,01ta5000000A6jNAAS,BundleComponent,,,false,0dSa50000000cK2EAI,false,false,true,,,PRC-000000014,QuantumBit Complete Solution,01ta5000000A6ipAAC,Bundle,,,Software;QuantumBit Complete Solution,0y7a500000002rTAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,25,,60
Additional API;QuantumBit Complete Solution;Software;Bundle to Bundle Component Relationship,Additional API,01ta5000000A6ioAAC,BundleComponent,,,false,0dSa50000000cK3EAI,false,false,true,,,PRC-000000015,QuantumBit Complete Solution,01ta5000000A6ipAAC,Bundle,,,Software;QuantumBit Complete Solution,0y7a500000002rTAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,10,,20
Implementation Engineer;QuantumBit Services Project;Engineering_Resources;Bundle to Bundle Component Relationship,Implementation Engineer,01ta5000000A6ibAAC,BundleComponent,,,false,0dSa50000000cK4EAI,false,false,true,,,PRC-000000016,QuantumBit Services Project,01ta5000000A6iaAAC,Bundle,,,Engineering_Resources;QuantumBit Services Project,0y7a500000002rcAAA,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,8,,1
Quality Assurance Engineer;QuantumBit Services Project;Engineering_Resources;Bundle to Bundle Component Relationship,Quality Assurance Engineer,01ta5000000A6imAAC,BundleComponent,,,false,0dSa50000000cK5EAI,false,false,true,,,PRC-000000017,QuantumBit Services Project,01ta5000000A6iaAAC,Bundle,,,Engineering_Resources;QuantumBit Services Project,0y7a500000002rcAAA,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,8,,4
Module Extension Engineer;QuantumBit Services Project;Engineering_Resources;Bundle to Bundle Component Relationship,Module Extension Engineer,01ta5000000A6ilAAC,BundleComponent,,,false,0dSa50000000cK6EAI,false,false,true,,,PRC-000000018,QuantumBit Services Project,01ta5000000A6iaAAC,Bundle,,,Engineering_Resources;QuantumBit Services Project,0y7a500000002rcAAA,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,8,,3
Integration Specialist Engineer;QuantumBit Services Project;Engineering_Resources;Bundle to Bundle Component Relationship,Integration Specialist Engineer,01ta5000000A6ikAAC,BundleComponent,,,false,0dSa50000000cK7EAI,false,false,true,,,PRC-000000019,QuantumBit Services Project,01ta5000000A6iaAAC,Bundle,,,Engineering_Resources;QuantumBit Services Project,0y7a500000002rcAAA,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,8,,5
Data Normalization Expert;QuantumBit Services Project;Engineering_Resources;Bundle to Bundle Component Relationship,Data Normalization Expert,01ta5000000A6inAAC,BundleComponent,,,false,0dSa50000000cK8EAI,false,false,true,,,PRC-000000020,QuantumBit Services Project,01ta5000000A6iaAAC,Bundle,,,Engineering_Resources;QuantumBit Services Project,0y7a500000002rcAAA,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,8,,2
QuantumBit Services Project;QuantumBit Complete Solution;Services;Bundle to Bundle Component Relationship,QuantumBit Services Project,01ta5000000A6iaAAC,BundleComponent,,,false,0dSa50000000cK9EAI,false,false,false,,,PRC-000000021,QuantumBit Complete Solution,01ta5000000A6ipAAC,Bundle,,,Services;QuantumBit Complete Solution,0y7a500000002rVAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,,50
1TB 7.2k RPM NLSAS;PowerSwerve R750 Rack Server;Hard Drive;Bundle to Bundle Component Relationship,1TB 7.2k RPM NLSAS,01ta5000000A6ijAAC,BundleComponent,,,true,0dSa50000000cKAEAY,false,true,false,,,PRC-000000022,PowerSwerve R750 Rack Server,01ta5000000A6iVAAS,Bundle,,,Hard Drive;PowerSwerve R750 Rack Server,0y7a500000002rXAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,Proportional,1
4TB 7.2k RPM NLSAS;PowerSwerve R750 Rack Server;Hard Drive;Bundle to Bundle Component Relationship,4TB 7.2k RPM NLSAS,01ta5000000A6iqAAC,BundleComponent,,,true,0dSa50000000cKBEAY,false,false,false,,,PRC-000000023,PowerSwerve R750 Rack Server,01ta5000000A6iVAAS,Bundle,,,Hard Drive;PowerSwerve R750 Rack Server,0y7a500000002rXAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,Proportional,2
8TB 7.2k RPM NLSAS;PowerSwerve R750 Rack Server;Hard Drive;Bundle to Bundle Component Relationship,8TB 7.2k RPM NLSAS,01ta5000000A6iXAAS,BundleComponent,,,true,0dSa50000000cKCEAY,false,false,false,,,PRC-000000024,PowerSwerve R750 Rack Server,01ta5000000A6iVAAS,Bundle,,,Hard Drive;PowerSwerve R750 Rack Server,0y7a500000002rXAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,Proportional,3
8TB 7.2k RPM Self-Encrypting NLSAS;PowerSwerve R750 Rack Server;Hard Drive;Bundle to Bundle Component Relationship,8TB 7.2k RPM Self-Encrypting NLSAS,01ta5000000A6iYAAS,BundleComponent,,,true,0dSa50000000cKDEAY,false,false,false,,,PRC-000000025,PowerSwerve R750 Rack Server,01ta5000000A6iVAAS,Bundle,,,Hard Drive;PowerSwerve R750 Rack Server,0y7a500000002rXAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,Proportional,4
Intel Xeon E5-2667 v4 3.2GHz;PowerSwerve R750 Rack Server;Processor;Bundle to Bundle Component Relationship,Intel Xeon E5-2667 v4 3.2GHz,01ta5000000A6ifAAC,BundleComponent,,,true,0dSa50000000cKEEAY,false,true,false,,,PRC-000000026,PowerSwerve R750 Rack Server,01ta5000000A6iVAAS,Bundle,,,Processor;PowerSwerve R750 Rack Server,0y7a500000002rYAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,Proportional,1
Intel Xeon E5-2609 v4 1.7GHz;PowerSwerve R750 Rack Server;Processor;Bundle to Bundle Component Relationship,Intel Xeon E5-2609 v4 1.7GHz,01ta5000000A6iUAAS,BundleComponent,,,true,0dSa50000000cKFEAY,false,false,false,,,PRC-000000027,PowerSwerve R750 Rack Server,01ta5000000A6iVAAS,Bundle,,,Processor;PowerSwerve R750 Rack Server,0y7a500000002rYAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,Proportional,2
Intel Xeon E5-2660 v4 2.0GHz;PowerSwerve R750 Rack Server;Processor;Bundle to Bundle Component Relationship,Intel Xeon E5-2660 v4 2.0GHz,01ta5000000A6ieAAC,BundleComponent,,,true,0dSa50000000cKGEAY,false,false,false,,,PRC-000000028,PowerSwerve R750 Rack Server,01ta5000000A6iVAAS,Bundle,,,Processor;PowerSwerve R750 Rack Server,0y7a500000002rYAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,Proportional,3
Intel Xeon E5-2683 v4 2.1GHz;PowerSwerve R750 Rack Server;Processor;Bundle to Bundle Component Relationship,Intel Xeon E5-2683 v4 2.1GHz,01ta5000000A6ihAAC,BundleComponent,,,true,0dSa50000000cKHEAY,false,false,false,,,PRC-000000029,PowerSwerve R750 Rack Server,01ta5000000A6iVAAS,Bundle,,,Processor;PowerSwerve R750 Rack Server,0y7a500000002rYAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,Proportional,4
Intel X710 Dual Port 10Gb Direct Attach;PowerSwerve R750 Rack Server;Network Adapter;Bundle to Bundle Component Relationship,Intel X710 Dual Port 10Gb Direct Attach,01ta5000000A6isAAC,BundleComponent,,,true,0dSa50000000cKIEAY,false,true,false,,,PRC-000000030,PowerSwerve R750 Rack Server,01ta5000000A6iVAAS,Bundle,,,Network Adapter;PowerSwerve R750 Rack Server,0y7a500000002rbAAA,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,Proportional,1
Intel X710 Dual Port 10Gb SFP;PowerSwerve R750 Rack Server;Network Adapter;Bundle to Bundle Component Relationship,Intel X710 Dual Port 10Gb SFP,01ta5000000A6iZAAS,BundleComponent,,,true,0dSa50000000cKJEAY,false,false,false,,,PRC-000000031,PowerSwerve R750 Rack Server,01ta5000000A6iVAAS,Bundle,,,Network Adapter;PowerSwerve R750 Rack Server,0y7a500000002rbAAA,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,Proportional,2
Program Director;QuantumBit Services Project;Project_Management;Bundle to Bundle Component Relationship,Program Director,01ta5000000A6jsAAC,BundleComponent,,,false,0dSa50000000cKKEAY,false,false,true,,,PRC-000000032,QuantumBit Services Project,01ta5000000A6iaAAC,Bundle,,,Project_Management;QuantumBit Services Project,0y7a500000002raAAA,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,8,,1
Project Manager;QuantumBit Services Project;Project_Management;Bundle to Bundle Component Relationship,Project Manager,01ta5000000A6juAAC,BundleComponent,,,false,0dSa50000000cKLEAY,true,true,true,,,PRC-000000033,QuantumBit Services Project,01ta5000000A6iaAAC,Bundle,,,Project_Management;QuantumBit Services Project,0y7a500000002raAAA,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,8,,2
Solutions Architect;QuantumBit Services Project;Solution_Architecture;Bundle to Bundle Component Relationship,Solutions Architect,01ta5000000A6jtAAC,BundleComponent,,,false,0dSa50000000cKMEAY,false,true,true,,,PRC-000000034,QuantumBit Services Project,01ta5000000A6iaAAC,Bundle,,,Solution_Architecture;QuantumBit Services Project,0y7a500000002rZAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,8,,1
8GB RDIMM;PowerSwerve R750 Rack Server;Memory Capacity;Bundle to Bundle Component Relationship,8GB RDIMM,01ta5000000A6irAAC,BundleComponent,,,true,0dSa50000000cKNEAY,false,true,false,,,PRC-000000035,PowerSwerve R750 Rack Server,01ta5000000A6iVAAS,Bundle,,,Memory Capacity;PowerSwerve R750 Rack Server,0y7a500000002rWAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,Proportional,1
16GB RDIMM;PowerSwerve R750 Rack Server;Memory Capacity;Bundle to Bundle Component Relationship,16GB RDIMM,01ta5000000A6iWAAS,BundleComponent,,,true,0dSa50000000cKOEAY,false,false,false,,,PRC-000000036,PowerSwerve R750 Rack Server,01ta5000000A6iVAAS,Bundle,,,Memory Capacity;PowerSwerve R750 Rack Server,0y7a500000002rWAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,Proportional,2
32GB RDIMM;PowerSwerve R750 Rack Server;Memory Capacity;Bundle to Bundle Component Relationship,32GB RDIMM,01ta5000000A6iiAAC,BundleComponent,,,true,0dSa50000000cKPEAY,false,false,false,,,PRC-000000037,PowerSwerve R750 Rack Server,01ta5000000A6iVAAS,Bundle,,,Memory Capacity;PowerSwerve R750 Rack Server,0y7a500000002rWAAQ,Bundle to Bundle Component Relationship,0yoa50000000UyzAAE,1,Proportional,3
